x,T_4_000K,T_6_000K,T_8_000K,T_10_000K,T_12_000K,T_14_000K,T_16_000K,T_18_000K,T_20_000K,T_22_000K,T_24_000K,T_26_000K,T_28_000K,T_30_000K
0.216047100363995,-0.00523730252937465,-0.0152470551957942,-0.0296105551326202,-0.0313117186067078,-0.0253230459283583,-0.0193572364318188,-0.016847038345261,-0.0165352967710428,-0.0179900645387546,0.00358408355185661,-0.0194587767060806,-0.0234087121380514,-0.0185569723629104,-0.00551925892927615
0.221859966870063,-0.00680233445882735,-0.0169362259215569,-0.031454431127229,-0.0329951213965803,-0.0267747861409258,-0.0205500794885264,-0.0178532103424109,-0.0174263223310476,-0.0187871900528814,0.00346842857188891,-0.0200606220773366,-0.0240385364611189,-0.0190562579488806,-0.00625907293458126
0.227672833376131,-0.00836736638828,-0.0186253966473197,-0.0332983071218378,-0.0346785241864528,-0.0282265263534933,-0.021742922545234,-0.0188593823395607,-0.0183173478910524,-0.0195843155670081,0.00335277359192121,-0.0206624674485925,-0.0246683607841865,-0.0195555435348507,-0.00699888693988634
0.233485699882199,-0.00993239831773267,-0.0203145673730824,-0.0351421831164466,-0.0363619269763254,-0.0296782665660609,-0.0229357656019417,-0.0198655543367106,-0.0192083734510572,-0.0203814410811349,0.00323711861195352,-0.0212643128198484,-0.0252981851072541,-0.0200548291208209,-0.00773870094519144
0.239298566388267,-0.0114974302471853,-0.0220037380988452,-0.0369860591110554,-0.0380453297661979,-0.0311300067786284,-0.0241286086586493,-0.0208717263338605,-0.0200993990110621,-0.0211785665952616,0.00312146363198582,-0.0218661581911043,-0.0259280094303216,-0.020554114706791,-0.00847851495049653
0.245111432894335,-0.013062462176638,-0.0236929088246079,-0.0388299351056642,-0.0397287325560704,-0.032581746991196,-0.025321451715357,-0.0218778983310103,-0.0209904245710669,-0.0219756921093884,0.00300580865201812,-0.0224680035623603,-0.0265578337533892,-0.0210534002927612,-0.00921832895580163
0.250924299400403,-0.0146274941060907,-0.0253820795503707,-0.040673811100273,-0.041412135345943,-0.0340334872037635,-0.0265142947720646,-0.0228840703281602,-0.0218814501310717,-0.0227728176235152,0.00289015367205043,-0.0230698489336162,-0.0271876580764568,-0.0215526858787314,-0.00995814296110672
0.256737165906471,-0.0161925260355434,-0.0270712502761334,-0.0425176870948818,-0.0430955381358155,-0.0354852274163311,-0.0277071378287722,-0.0238902423253101,-0.0227724756910765,-0.0235699431376419,0.00277449869208273,-0.0236716943048721,-0.0278174823995244,-0.0220519714647015,-0.0106979569664118
0.262550032412539,-0.017757557964996,-0.0287604210018961,-0.0443615630894905,-0.044778940925688,-0.0369369676288986,-0.0288999808854798,-0.0248964143224599,-0.0236635012510813,-0.0243670686517687,0.00265884371211503,-0.024273539676128,-0.0284473067225919,-0.0225512570506716,-0.0114377709717169
0.268362898918607,-0.0193225898944487,-0.0304495917276589,-0.0462054390840994,-0.0464623437155606,-0.0383887078414661,-0.0300928239421875,-0.0259025863196098,-0.0245545268110862,-0.0251641941658954,0.00254318873214733,-0.024875385047384,-0.0290771310456595,-0.0230505426366418,-0.012177584977022
0.274175765424674,-0.0208876218239013,-0.0321387624534216,-0.0480493150787082,-0.0481457465054331,-0.0398404480540337,-0.0312856669988951,-0.0269087583167596,-0.025445552371091,-0.0259613196800222,0.00242753375217964,-0.0254772304186399,-0.0297069553687271,-0.023549828222612,-0.0129173989823271
