"row_type","item_path","run_id","execution_status_missing_before","report_missing_before","figures_manifest_missing_before","execution_status_written","execution_status_backfilled_value","report_written","report_target_path","figures_manifest_written","figures_detected_count","has_run_manifest","has_error_log","script_path_from_manifest","classification","used_in_runs","usage_count","strategy_reason","completed_after"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_14_071722_tri_scaling_test","run_2026_03_14_071722_tri_scaling_test","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_14_071722_tri_scaling_test\reports\report.md","YES","21","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_14_073402_TRI_cross_temperature_test","run_2026_03_14_073402_TRI_cross_temperature_test","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_14_073402_TRI_cross_temperature_test\reports\report.md","YES","24","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_14_073850_TRI_clock_consistency_test","run_2026_03_14_073850_TRI_clock_consistency_test","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_14_073850_TRI_clock_consistency_test\reports\report.md","YES","0","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_14_074027_TRI_clock_consistency_test","run_2026_03_14_074027_TRI_clock_consistency_test","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_14_074027_TRI_clock_consistency_test\reports\report.md","YES","0","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_14_074415_TRI_clock_consistency_test","run_2026_03_14_074415_TRI_clock_consistency_test","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_14_074415_TRI_clock_consistency_test\reports\report.md","YES","0","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_14_074613_aging_clock_ratio_analysis","run_2026_03_14_074613_aging_clock_ratio_analysis","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_14_074613_aging_clock_ratio_analysis\reports\report.md","YES","12","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_14_074701_TRI_clock_consistency_test","run_2026_03_14_074701_TRI_clock_consistency_test","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_14_074701_TRI_clock_consistency_test\reports\report.md","YES","21","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_14_075006_TRI_clock_consistency_test","run_2026_03_14_075006_TRI_clock_consistency_test","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_14_075006_TRI_clock_consistency_test\reports\report.md","YES","21","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_14_130940_clock_ratio_temperature_support_audit","run_2026_03_14_130940_clock_ratio_temperature_support_audit","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_14_130940_clock_ratio_temperature_support_audit\reports\report.md","YES","0","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_14_131220_clock_ratio_temperature_support_audit","run_2026_03_14_131220_clock_ratio_temperature_support_audit","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_14_131220_clock_ratio_temperature_support_audit\reports\report.md","YES","0","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_14_131833_clock_ratio_temperature_support_audit","run_2026_03_14_131833_clock_ratio_temperature_support_audit","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_14_131833_clock_ratio_temperature_support_audit\reports\report.md","YES","0","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_14_132250_clock_ratio_temperature_support_audit","run_2026_03_14_132250_clock_ratio_temperature_support_audit","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_14_132250_clock_ratio_temperature_support_audit\reports\report.md","YES","6","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_14_132559_clock_ratio_temperature_support_audit","run_2026_03_14_132559_clock_ratio_temperature_support_audit","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_14_132559_clock_ratio_temperature_support_audit\reports\report.md","YES","9","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_14_133454_clock_ratio_temperature_support_audit","run_2026_03_14_133454_clock_ratio_temperature_support_audit","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_14_133454_clock_ratio_temperature_support_audit\reports\report.md","YES","9","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_14_152820_clock_ratio_lower_support_audit","run_2026_03_14_152820_clock_ratio_lower_support_audit","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_14_152820_clock_ratio_lower_support_audit\reports\report.md","YES","0","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_16_023652_aging_clock_ratio_temperature_scaling","run_2026_03_16_023652_aging_clock_ratio_temperature_scaling","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_16_023652_aging_clock_ratio_temperature_scaling\reports\report.md","YES","6","YES","NO","","","","","","YES"
